# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	41631	43475	-							GUY30_RS00175	1845		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	41631	43475	-	WP_167193072.1	WP_167193072.1		protein kinase			GUY30_RS00175	1845	614	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	43472	44941	-							GUY30_RS00180	1470		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	43472	44941	-	WP_167193074.1	WP_167193074.1		penicillin-binding protein 2			GUY30_RS00180	1470	489	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	44938	46578	-							GUY30_RS00185	1641		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	44938	46578	-	WP_167193076.1	WP_167193076.1		FtsW/RodA/SpoVE family cell cycle protein			GUY30_RS00185	1641	546	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	46578	47945	-							GUY30_RS00190	1368		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	46578	47945	-	WP_228281546.1	WP_228281546.1		protein phosphatase 2C domain-containing protein			GUY30_RS00190	1368	455	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	47999	48508	-							GUY30_RS00195	510		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	47999	48508	-	WP_167193080.1	WP_167193080.1		FHA domain-containing protein			GUY30_RS00195	510	169	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	48505	49371	-							GUY30_RS00200	867		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	48505	49371	-	WP_167193082.1	WP_167193082.1		DUF3662 and FHA domain-containing protein			GUY30_RS00200	867	288	
gene	tRNA	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	49803	49886	+							GUY30_RS00205	84		
tRNA		GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	49803	49886	+				tRNA-Leu			GUY30_RS00205	84		anticodon=CAG
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	50320	51546	-							GUY30_RS00210	1227		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	50320	51546	-	WP_167193084.1	WP_167193084.1		hydroxymethylglutaryl-CoA synthase			GUY30_RS00210	1227	408	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	51543	52646	-							GUY30_RS00215	1104		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	51543	52646	-	WP_167193086.1	WP_167193086.1		hydroxymethylglutaryl-CoA reductase			GUY30_RS00215	1104	367	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	52643	53821	-					fni		GUY30_RS00220	1179		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	52643	53821	-	WP_167193088.1	WP_167193088.1		type 2 isopentenyl-diphosphate Delta-isomerase	fni		GUY30_RS00220	1179	392	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	53811	54983	-							GUY30_RS00225	1173		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	53811	54983	-	WP_167193090.1	WP_167193090.1		phosphomevalonate kinase			GUY30_RS00225	1173	390	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	54980	55996	-					mvaD		GUY30_RS00230	1017		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	54980	55996	-	WP_167193092.1	WP_167193092.1		diphosphomevalonate decarboxylase	mvaD		GUY30_RS00230	1017	338	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	55993	56964	-					mvk		GUY30_RS00235	972		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	55993	56964	-	WP_167193094.1	WP_167193094.1		mevalonate kinase	mvk		GUY30_RS00235	972	323	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	57049	58386	-							GUY30_RS00240	1338		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	57049	58386	-	WP_228281547.1	WP_228281547.1		RNA polymerase			GUY30_RS00240	1338	445	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	58383	58763	-							GUY30_RS00245	381		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	58383	58763	-	WP_167193096.1	WP_167193096.1		YciI family protein			GUY30_RS00245	381	126	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	58926	60299	-							GUY30_RS00250	1374		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	58926	60299	-	WP_167193098.1	WP_167193098.1		FAD-binding protein			GUY30_RS00250	1374	457	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	60448	62229	+							GUY30_RS00255	1782		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	60448	62229	+	WP_167193100.1	WP_167193100.1		bifunctional 3'-5' exonuclease/DNA polymerase			GUY30_RS00255	1782	593	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	62312	63394	+							GUY30_RS00260	1083		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	62312	63394	+	WP_167193102.1	WP_167193102.1		NAD(P)-dependent alcohol dehydrogenase			GUY30_RS00260	1083	360	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	63411	63878	+							GUY30_RS00265	468		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	63411	63878	+	WP_228281548.1	WP_228281548.1		VanZ family protein			GUY30_RS00265	468	155	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	63915	64388	-							GUY30_RS00270	474		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	63915	64388	-	WP_167193104.1	WP_167193104.1		MarR family transcriptional regulator			GUY30_RS00270	474	157	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	64487	64861	+							GUY30_RS00275	375		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	64487	64861	+	WP_167193106.1	WP_167193106.1		VOC family protein			GUY30_RS00275	375	124	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	64862	65293	-							GUY30_RS00280	432		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	64862	65293	-	WP_167193108.1	WP_167193108.1		YdeI/OmpD-associated family protein			GUY30_RS00280	432	143	
gene	pseudogene	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	65339	66308	-							GUY30_RS00285	970		pseudo
CDS	without_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	65339	66308	-				isoprenylcysteine carboxylmethyltransferase family protein			GUY30_RS00285	970		pseudo
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	66305	67210	-							GUY30_RS00290	906		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	66305	67210	-	WP_167193110.1	WP_167193110.1		PhzF family phenazine biosynthesis protein			GUY30_RS00290	906	301	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	67389	68495	+							GUY30_RS00295	1107		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	67389	68495	+	WP_228281550.1	WP_228281550.1		Gfo/Idh/MocA family oxidoreductase			GUY30_RS00295	1107	368	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	68641	69390	+							GUY30_RS00300	750		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	68641	69390	+	WP_167193112.1	WP_167193112.1		M50 family metallopeptidase			GUY30_RS00300	750	249	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	69504	70181	+							GUY30_RS00305	678		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	69504	70181	+	WP_167193113.1	WP_167193113.1		HAD family phosphatase			GUY30_RS00305	678	225	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	70581	72704	+							GUY30_RS00310	2124		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	70581	72704	+	WP_167193115.1	WP_167193115.1		HNH endonuclease			GUY30_RS00310	2124	707	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	72905	74515	-							GUY30_RS00315	1611		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	72905	74515	-	WP_167193117.1	WP_167193117.1		purine permease			GUY30_RS00315	1611	536	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	74965	76545	+							GUY30_RS00320	1581		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	74965	76545	+	WP_167193119.1	WP_167193119.1		8-oxoguanine deaminase			GUY30_RS00320	1581	526	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	76624	77109	-							GUY30_RS00325	486		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	76624	77109	-	WP_167193121.1	WP_167193121.1		hypothetical protein			GUY30_RS00325	486	161	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	77255	77707	+							GUY30_RS00330	453		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	77255	77707	+	WP_167193123.1	WP_167193123.1		DUF2871 domain-containing protein			GUY30_RS00330	453	150	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	77807	78619	-							GUY30_RS00335	813		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	77807	78619	-	WP_167193125.1	WP_167193125.1		MerR family transcriptional regulator			GUY30_RS00335	813	270	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	78710	79516	+							GUY30_RS00340	807		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	78710	79516	+	WP_228281551.1	WP_228281551.1		type 1 glutamine amidotransferase			GUY30_RS00340	807	268	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	79668	81320	+							GUY30_RS00345	1653		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	79668	81320	+	WP_167193127.1	WP_167193127.1		alanine:cation symporter family protein			GUY30_RS00345	1653	550	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	81394	82233	-							GUY30_RS00350	840		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	81394	82233	-	WP_167193129.1	WP_167193129.1		hypothetical protein			GUY30_RS00350	840	279	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	82230	82844	-							GUY30_RS17720	615		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	82230	82844	-	WP_208091455.1	WP_208091455.1		DUF6114 domain-containing protein			GUY30_RS17720	615	204	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	82844	83458	-							GUY30_RS00360	615		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	82844	83458	-	WP_039211616.1	WP_039211616.1		DUF6230 family protein			GUY30_RS00360	615	204	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	83962	85506	-							GUY30_RS00365	1545		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	83962	85506	-	WP_167193131.1	WP_167193131.1		AbgT family transporter			GUY30_RS00365	1545	514	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	85635	86456	-							GUY30_RS00370	822		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	85635	86456	-	WP_167193133.1	WP_167193133.1		creatininase family protein			GUY30_RS00370	822	273	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	86456	87148	-							GUY30_RS00375	693		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	86456	87148	-	WP_167193135.1	WP_167193135.1		GntR family transcriptional regulator			GUY30_RS00375	693	230	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	87207	88268	-							GUY30_RS00380	1062		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	87207	88268	-	WP_167193137.1	WP_167193137.1		prolyl oligopeptidase family serine peptidase			GUY30_RS00380	1062	353	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	88421	89080	-							GUY30_RS00385	660		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	88421	89080	-	WP_167193138.1	WP_167193138.1		GntR family transcriptional regulator			GUY30_RS00385	660	219	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	89258	90274	+							GUY30_RS00390	1017		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	89258	90274	+	WP_167193140.1	WP_167193140.1		1-aminocyclopropane-1-carboxylate deaminase			GUY30_RS00390	1017	338	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	90277	92700	+							GUY30_RS00395	2424		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	90277	92700	+	WP_228281553.1	WP_228281553.1		pyruvate dehydrogenase			GUY30_RS00395	2424	807	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	93044	94438	+							GUY30_RS00400	1395		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	93044	94438	+	WP_167193142.1	WP_167193142.1		NAD-dependent succinate-semialdehyde dehydrogenase			GUY30_RS00400	1395	464	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	94786	96426	+							GUY30_RS00405	1641		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	94786	96426	+	WP_167193144.1	WP_167193144.1		long-chain fatty acid--CoA ligase			GUY30_RS00405	1641	546	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	96462	97811	+							GUY30_RS00410	1350		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	96462	97811	+	WP_228281554.1	WP_228281554.1		beta-ketoacyl-[acyl-carrier-protein] synthase family protein			GUY30_RS00410	1350	449	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	97808	99013	+							GUY30_RS00415	1206		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	97808	99013	+	WP_167193148.1	WP_167193148.1		acyl-CoA/acyl-ACP dehydrogenase			GUY30_RS00415	1206	401	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	99103	100617	-							GUY30_RS00420	1515		
CDS	with_protein	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	99103	100617	-	WP_167193150.1	WP_167193150.1		sodium:solute symporter family protein			GUY30_RS00420	1515	504	
gene	protein_coding	GCF_011617465.1	Primary Assembly	chromosome		NZ_CP050153.1	100614	100985	-							GUY30_RS00425	372		
