# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	7563	10169	+	WP_166968564.1	WP_166968564.1		DNA gyrase subunit A	gyrA		GUY23_RS00030	2607	868	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	10166	11026	+							GUY23_RS18510	861		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	10166	11026	+	WP_228282587.1	WP_228282587.1		DUF3566 domain-containing protein			GUY23_RS18510	861	286	
gene	tRNA	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	11180	11253	+							GUY23_RS00040	74		
tRNA		GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	11180	11253	+				tRNA-Ile			GUY23_RS00040	74		anticodon=GAT
gene	tRNA	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	11425	11497	+							GUY23_RS00045	73		
tRNA		GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	11425	11497	+				tRNA-Ala			GUY23_RS00045	73		anticodon=TGC
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	11596	12393	-							GUY23_RS00050	798		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	11596	12393	-	WP_228282589.1	WP_228282589.1		SDR family oxidoreductase			GUY23_RS00050	798	265	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	12490	12978	+							GUY23_RS00055	489		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	12490	12978	+	WP_166968566.1	WP_166968566.1		MarR family transcriptional regulator			GUY23_RS00055	489	162	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	12960	13928	+							GUY23_RS00060	969		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	12960	13928	+	WP_228282591.1	WP_228282591.1		endo alpha-1,4 polygalactosaminidase			GUY23_RS00060	969	322	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	14160	15608	+							GUY23_RS00065	1449		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	14160	15608	+	WP_166968568.1	WP_166968568.1		DHA2 family efflux MFS transporter permease subunit			GUY23_RS00065	1449	482	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	15723	18350	+							GUY23_RS00070	2628		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	15723	18350	+	WP_166968570.1	WP_166968570.1		excinuclease ABC subunit UvrA			GUY23_RS00070	2628	875	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	18491	19795	+							GUY23_RS00075	1305		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	18491	19795	+	WP_166968572.1	WP_166968572.1		sodium:proton exchanger			GUY23_RS00075	1305	434	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	19806	20477	+							GUY23_RS00080	672		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	19806	20477	+	WP_166968574.1	WP_166968574.1		metal-dependent transcriptional regulator			GUY23_RS00080	672	223	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	20655	21290	+							GUY23_RS00085	636		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	20655	21290	+	WP_166968576.1	WP_166968576.1		TetR/AcrR family transcriptional regulator			GUY23_RS00085	636	211	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	21346	22083	+							GUY23_RS00090	738		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	21346	22083	+	WP_166968578.1	WP_166968578.1		DUF4097 family beta strand repeat-containing protein			GUY23_RS00090	738	245	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	22151	23620	-							GUY23_RS00095	1470		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	22151	23620	-	WP_228282593.1	WP_228282593.1		aldehyde dehydrogenase family protein			GUY23_RS00095	1470	489	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	23639	24979	-							GUY23_RS00100	1341		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	23639	24979	-	WP_166968582.1	WP_166968582.1		MFS transporter			GUY23_RS00100	1341	446	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	25056	25562	+							GUY23_RS00105	507		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	25056	25562	+	WP_166968584.1	WP_166968584.1		helix-turn-helix transcriptional regulator			GUY23_RS00105	507	168	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	25538	26959	-							GUY23_RS00110	1422		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	25538	26959	-	WP_166968586.1	WP_166968586.1		aldehyde dehydrogenase family protein			GUY23_RS00110	1422	473	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	26968	28530	-							GUY23_RS00115	1563		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	26968	28530	-	WP_166968588.1	WP_166968588.1		GMC family oxidoreductase N-terminal domain-containing protein			GUY23_RS00115	1563	520	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	28654	29166	+							GUY23_RS00120	513		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	28654	29166	+	WP_166968590.1	WP_166968590.1		hypothetical protein			GUY23_RS00120	513	170	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	29137	30411	-							GUY23_RS00125	1275		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	29137	30411	-	WP_166968592.1	WP_166968592.1		MFS transporter			GUY23_RS00125	1275	424	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	30408	31052	-							GUY23_RS00130	645		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	30408	31052	-	WP_166968594.1	WP_166968594.1		TetR/AcrR family transcriptional regulator			GUY23_RS00130	645	214	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	31150	31494	-							GUY23_RS00135	345		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	31150	31494	-	WP_166968596.1	WP_166968596.1		VOC family protein			GUY23_RS00135	345	114	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	31524	31853	-							GUY23_RS00140	330		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	31524	31853	-	WP_166968598.1	WP_166968598.1		nuclear transport factor 2 family protein			GUY23_RS00140	330	109	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	31949	32704	-							GUY23_RS00145	756		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	31949	32704	-	WP_166968600.1	WP_166968600.1		SDR family oxidoreductase			GUY23_RS00145	756	251	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	32768	33481	+							GUY23_RS00150	714		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	32768	33481	+	WP_166968601.1	WP_166968601.1		TetR/AcrR family transcriptional regulator			GUY23_RS00150	714	237	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	33589	33969	-							GUY23_RS00155	381		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	33589	33969	-	WP_166968603.1	WP_166968603.1		DUF488 family protein			GUY23_RS00155	381	126	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	34131	35354	+							GUY23_RS00160	1224		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	34131	35354	+	WP_166968605.1	WP_166968605.1		Dyp-type peroxidase			GUY23_RS00160	1224	407	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	35351	36151	+							GUY23_RS00165	801		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	35351	36151	+	WP_166968607.1	WP_166968607.1		bacteriocin family protein			GUY23_RS00165	801	266	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	36350	37279	+							GUY23_RS00170	930		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	36350	37279	+	WP_228282595.1	WP_228282595.1		hypothetical protein			GUY23_RS00170	930	309	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	37509	38147	-							GUY23_RS00175	639		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	37509	38147	-	WP_166968610.1	WP_166968610.1		TetR/AcrR family transcriptional regulator			GUY23_RS00175	639	212	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	38137	39801	-							GUY23_RS00180	1665		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	38137	39801	-	WP_166968612.1	WP_166968612.1		AMP-binding protein			GUY23_RS00180	1665	554	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	39829	40596	-							GUY23_RS00185	768		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	39829	40596	-	WP_166968614.1	WP_166968614.1		SDR family oxidoreductase			GUY23_RS00185	768	255	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	40649	41794	-							GUY23_RS00190	1146		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	40649	41794	-	WP_166968616.1	WP_166968616.1		acyl-CoA dehydrogenase family protein			GUY23_RS00190	1146	381	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	41829	42662	-							GUY23_RS00195	834		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	41829	42662	-	WP_166968618.1	WP_166968618.1		enoyl-CoA hydratase-related protein			GUY23_RS00195	834	277	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	42827	43507	+							GUY23_RS00200	681		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	42827	43507	+	WP_228282597.1	WP_228282597.1		hypothetical protein			GUY23_RS00200	681	226	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	43667	46993	-							GUY23_RS00205	3327		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	43667	46993	-	WP_228282599.1	WP_228282599.1		PDZ domain-containing protein			GUY23_RS00205	3327	1108	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	47081	48820	+					argS		GUY23_RS00210	1740		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	47081	48820	+	WP_166968622.1	WP_166968622.1		arginine--tRNA ligase	argS		GUY23_RS00210	1740	579	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	48850	50100	+							GUY23_RS00215	1251		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	48850	50100	+	WP_166975366.1	WP_166975366.1		MFS transporter			GUY23_RS00215	1251	416	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	50192	50968	-							GUY23_RS00220	777		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	50192	50968	-	WP_166968624.1	WP_166968624.1		hypothetical protein			GUY23_RS00220	777	258	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	51141	51683	+							GUY23_RS00225	543		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	51141	51683	+	WP_166968626.1	WP_166968626.1		peptidylprolyl isomerase			GUY23_RS00225	543	180	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	51742	52437	+							GUY23_RS00230	696		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	51742	52437	+	WP_166968628.1	WP_166968628.1		rhomboid family intramembrane serine protease			GUY23_RS00230	696	231	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	52803	53564	-							GUY23_RS00235	762		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	52803	53564	-	WP_166968630.1	WP_166968630.1		cell division protein CrgA			GUY23_RS00235	762	253	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	53791	55020	+							GUY23_RS00240	1230		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	53791	55020	+	WP_228282601.1	WP_228282601.1		class E sortase			GUY23_RS00240	1230	409	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	55022	55189	+							GUY23_RS00245	168		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	55022	55189	+	WP_166968632.1	WP_166968632.1		hypothetical protein			GUY23_RS00245	168	55	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	55186	55830	+							GUY23_RS00250	645		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	55186	55830	+	WP_166968634.1	WP_166968634.1		aminodeoxychorismate/anthranilate synthase component II			GUY23_RS00250	645	214	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	55950	56462	+							GUY23_RS00255	513		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	55950	56462	+	WP_166968636.1	WP_166968636.1		GyrI-like domain-containing protein			GUY23_RS00255	513	170	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	56474	58372	-					pknB		GUY23_RS00260	1899		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	56474	58372	-	WP_166968638.1	WP_166968638.1		Stk1 family PASTA domain-containing Ser/Thr kinase	pknB		GUY23_RS00260	1899	632	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	58494	60335	-							GUY23_RS00265	1842		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	58494	60335	-	WP_166968640.1	WP_166968640.1		protein kinase			GUY23_RS00265	1842	613	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	60332	61801	-							GUY23_RS00270	1470		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	60332	61801	-	WP_166968642.1	WP_166968642.1		penicillin-binding protein 2			GUY23_RS00270	1470	489	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	61798	63384	-							GUY23_RS00275	1587		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	61798	63384	-	WP_166968644.1	WP_166968644.1		FtsW/RodA/SpoVE family cell cycle protein			GUY23_RS00275	1587	528	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	63384	64817	-							GUY23_RS00280	1434		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	63384	64817	-	WP_166968646.1	WP_166968646.1		protein phosphatase 2C domain-containing protein			GUY23_RS00280	1434	477	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	64814	65332	-							GUY23_RS00285	519		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	64814	65332	-	WP_166968648.1	WP_166968648.1		FHA domain-containing protein			GUY23_RS00285	519	172	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	65329	66198	-							GUY23_RS00290	870		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	65329	66198	-	WP_166968650.1	WP_166968650.1		DUF3662 and FHA domain-containing protein			GUY23_RS00290	870	289	
gene	tRNA	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	66516	66599	+							GUY23_RS00295	84		
tRNA		GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	66516	66599	+				tRNA-Leu			GUY23_RS00295	84		anticodon=CAG
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	66664	67503	-							GUY23_RS00300	840		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	66664	67503	-	WP_166968652.1	WP_166968652.1		helix-turn-helix domain-containing protein			GUY23_RS00300	840	279	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	67679	68620	+							GUY23_RS00305	942		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	67679	68620	+	WP_166968654.1	WP_166968654.1		SDR family oxidoreductase			GUY23_RS00305	942	313	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	68805	70025	-							GUY23_RS00310	1221		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	68805	70025	-	WP_166968657.1	WP_166968657.1		hydroxymethylglutaryl-CoA synthase			GUY23_RS00310	1221	406	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	70022	71110	-							GUY23_RS00315	1089		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	70022	71110	-	WP_166968659.1	WP_166968659.1		hydroxymethylglutaryl-CoA reductase			GUY23_RS00315	1089	362	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	71107	72330	-					fni		GUY23_RS00320	1224		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	71107	72330	-	WP_166968661.1	WP_166968661.1		type 2 isopentenyl-diphosphate Delta-isomerase	fni		GUY23_RS00320	1224	407	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	72320	73411	-							GUY23_RS00325	1092		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	72320	73411	-	WP_166968663.1	WP_166968663.1		phosphomevalonate kinase			GUY23_RS00325	1092	363	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	73408	74421	-					mvaD		GUY23_RS00330	1014		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	73408	74421	-	WP_166968666.1	WP_166968666.1		diphosphomevalonate decarboxylase	mvaD		GUY23_RS00330	1014	337	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	74418	75434	-					mvk		GUY23_RS00335	1017		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	74418	75434	-	WP_166968668.1	WP_166968668.1		mevalonate kinase	mvk		GUY23_RS00335	1017	338	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	75679	77442	-							GUY23_RS00340	1764		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	75679	77442	-	WP_166968670.1	WP_166968670.1		ABC transporter ATP-binding protein/permease			GUY23_RS00340	1764	587	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	77439	80078	-							GUY23_RS00345	2640		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	77439	80078	-	WP_166968672.1	WP_166968672.1		ATP-binding cassette domain-containing protein			GUY23_RS00345	2640	879	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	80078	80812	-							GUY23_RS00350	735		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	80078	80812	-	WP_166968674.1	WP_166968674.1		TetR/AcrR family transcriptional regulator			GUY23_RS00350	735	244	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	80936	82201	-							GUY23_RS00355	1266		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	80936	82201	-	WP_166968676.1	WP_166968676.1		RNA polymerase			GUY23_RS00355	1266	421	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	82216	82599	-							GUY23_RS00360	384		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	82216	82599	-	WP_166968678.1	WP_166968678.1		YciI family protein			GUY23_RS00360	384	127	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	82691	83281	-							GUY23_RS00365	591		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	82691	83281	-	WP_166968680.1	WP_166968680.1		TetR family transcriptional regulator			GUY23_RS00365	591	196	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	83420	84730	+							GUY23_RS00370	1311		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	83420	84730	+	WP_228282603.1	WP_228282603.1		MFS transporter			GUY23_RS00370	1311	436	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	84712	86085	-							GUY23_RS00375	1374		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	84712	86085	-	WP_166968682.1	WP_166968682.1		FAD-binding protein			GUY23_RS00375	1374	457	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	86200	87984	+							GUY23_RS00380	1785		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	86200	87984	+	WP_166968684.1	WP_166968684.1		bifunctional 3'-5' exonuclease/DNA polymerase			GUY23_RS00380	1785	594	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	88161	89237	+							GUY23_RS00385	1077		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	88161	89237	+	WP_166968686.1	WP_166968686.1		NAD(P)-dependent alcohol dehydrogenase			GUY23_RS00385	1077	358	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	89301	89738	+							GUY23_RS00390	438		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	89301	89738	+	WP_228282605.1	WP_228282605.1		VanZ family protein			GUY23_RS00390	438	145	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	89832	90305	+							GUY23_RS00395	474		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	89832	90305	+	WP_228282607.1	WP_228282607.1		VanZ family protein			GUY23_RS00395	474	157	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	90353	90847	-							GUY23_RS00400	495		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	90353	90847	-	WP_166968688.1	WP_166968688.1		MarR family transcriptional regulator			GUY23_RS00400	495	164	
gene	pseudogene	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	90911	91293	+							GUY23_RS00405	383		pseudo
CDS	without_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	90911	91293	+				VOC family protein			GUY23_RS00405	383		pseudo
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	91313	91744	-							GUY23_RS00410	432		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	91313	91744	-	WP_166968690.1	WP_166968690.1		YdeI/OmpD-associated family protein			GUY23_RS00410	432	143	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	91790	92758	-							GUY23_RS00415	969		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	91790	92758	-	WP_166968692.1	WP_166968692.1		isoprenylcysteine carboxylmethyltransferase family protein			GUY23_RS00415	969	322	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	92755	93663	-							GUY23_RS00420	909		
CDS	with_protein	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	92755	93663	-	WP_208085419.1	WP_208085419.1		PhzF family phenazine biosynthesis protein			GUY23_RS00420	909	302	
gene	protein_coding	GCF_011617245.1	Primary Assembly	chromosome		NZ_CP050152.1	93810	94910	+							GUY23_RS00425	1101		
